# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8795549626454433,0.45476837107902424,7.302972713448006,0,4.4,-0.005405410338117998,180.0,0.0,0.07612595346078377
 0.0933455849617573,1.8985689330646065,0.45720511957526977,7.302972713448006,0.4107205738317321,4.4,-0.005405410338117998,-179.99289397834343,-0.15338595131089425,0.5499206658607325
 0.1321092542868385,1.9176400208770306,0.4596471764332647,7.297026911152278,0.5812807188620895,4.400000000000003,-0.005447030813738413,-179.97157703549698,-0.20158459140593235,1.1916714933631285
 0.1619199009640605,1.9367675401300901,0.4620944203257734,7.291017544122303,0.7124475642418663,4.399999999999999,-0.005488684938198573,-179.936052537653,-0.24112531181629487,1.97435550683349
 0.18710606573495886,1.9559508048711598,0.4645467299255598,7.2849445222884635,0.8232666892338191,4.400000000000001,-0.005530387708562445,-179.88632609454157,-0.275974625204249,2.874544603594221
 0.20934281792074477,1.9751891291476142,0.46700398390538833,7.278807742938231,0.921108398851277,4.399999999999998,-0.0055721548659361944,-179.82240555854446,-0.30779151514160596,3.8769975914734522
 0.2294884417563083,1.9944818270068279,0.469466060938023,7.272607090854411,1.0097491437277566,4.3999999999999995,-0.005614002159254333,-179.74430102345525,-0.33746468394055085,4.970740096301318
 0.24805231731246338,2.0138282124961755,0.47193283969622807,7.266342438457142,1.091430196174839,4.400000000000001,-0.005655942700737058,-179.65202482288552,-0.3655367746817795,6.147346913045015
 0.26536601313507274,2.033227599663032,0.4744041988527677,7.260013645928322,1.16761045779432,4.399999999999996,-0.005697992998667226,-179.545591528317,-0.3923679451580947,7.400059815292935
 0.28165960866345985,2.052679302554771,0.4768800170804061,7.253620561331614,1.239302278119223,4.399999999999988,-0.005740165027343469,-179.42501794680075,-0.41821164954772044,8.72328178919278
 0.2971004521158192,2.0721826352187684,0.4793601730519074,7.247163020720993,1.3072419893096041,4.39999999999999,-0.00578247474008688,-179.290323118303,-0.44325422090275896,10.112263343421745
 0.3118147451035682,2.091736911702398,0.48184454544003585,7.240640848246573,1.3719848784556996,4.39999999999999,-0.005824934330700518,-179.14152831269863,-0.4676373968165158,11.562896131730398
 0.3259004278279373,2.111341446053035,0.4843330129175556,7.234053856244966,1.4339618824429237,4.399999999999999,-0.005867559221296047,-178.97865702641224,-0.4914719945874132,13.071570802545756
 0.3394353005969881,2.130995552318053,0.4868254541572308,7.227401845328674,1.4935153226267472,4.400000000000005,-0.005910361805481172,-178.80173497870814,-0.514846647268275,14.635075423923704
 0.3524823717974248,2.1506985445448277,0.4893217478318257,7.220684604464459,1.5509224359086686,4.399999999999997,-0.005953355219908775,-178.61079010762845,-0.5378336180651099,16.250520684555312
 0.3650935087587934,2.170449736780733,0.49182177261410437,7.213901911044612,1.6064114385386903,4.399999999999999,-0.0059965527032507186,-178.40585256558197,-0.5604928037676717,17.915283412067765
 0.377312006561195,2.190248443073144,0.49432540717683116,7.207053530953513,1.6601728288692574,4.399999999999994,-0.006039968737811984,-178.1869547145822,-0.582874571723769,19.626963005646825
 0.3891744426078631,2.210093977469435,0.49683253019277007,7.200139218623212,1.7123675474745972,4.400000000000013,-0.006083614982445856,-177.9541311211374,-0.6050218189106364,21.383347211236895
 0.400712045580321,2.2299856540169807,0.4993430203346855,7.1931587170869475,1.7631330005534116,4.399999999999981,-0.006127503826483332,-177.70741855079194,-0.6269714993823036,23.18238480666221
 0.41195172564966304,2.2499227867631557,0.5018567562753414,7.186111758021293,1.8125875928585167,4.4,-0.006171648890030976,-177.44685596232068,-0.6487557772710946,25.022163497225776
 0.42291686304772724,2.269904689755335,0.5043736166875021,7.1789980617857285,1.8608341974099993,4.400000000000015,-0.006216061669025176,-177.17248450157678,-0.6704029122700883,26.900891807517404
 0.43362792083138085,2.2899306770408927,0.5068934802439318,7.1718173374540735,1.9079628516580753,4.40000000000001,-0.0062607570512592,-176.88434749499464,-0.6919379492065112,28.81688408484443
 0.44410292747533847,2.310000062667204,0.5094162256173945,7.164569282838929,1.9540528808914888,4.3999999999999915,-0.006305745134770725,-176.58249044274774,-0.7133832617689936,30.768547957912336
 0.4543578615598308,2.330112160681642,0.5119417314806546,7.1572535845125085,1.999174590863255,4.399999999999989,-0.006351038868296698,-176.2669610115638,-0.7347589870601989,32.75437375672065
 0.46440696177498647,2.350266285131583,0.5144698765064762,7.149869917817554,2.04339063180994,4.400000000000011,-0.00639665128251684,-175.93780902719786,-0.7560833754124533,34.7729255160838
 0.47426297922383576,2.370461750064402,0.5170005393676235,7.142417946876704,2.0867571085848766,4.39999999999998,-0.006442593955620394,-175.5950864665638,-0.7773730757448335,36.82283327040445
 0.4839373846238978,2.3906978695274717,0.5195335987368607,7.1348973245948555,2.1293244923451495,4.399999999999995,-0.006488879621140219,-175.23884744952701,-0.7986433705113111,38.90278641125087
 0.49344053988020836,2.4109739575681677,0.5220689332869518,7.127307692650464,2.1711383754729163,4.4000000000000306,-0.006535520108741103,-174.8691482303578,-0.8199083688287576,41.01152792646706
 0.5027818412381105,2.4312893282338646,0.5246064216906612,7.119648681491368,2.212240101447686,4.399999999999988,-0.0065825288519741785,-174.48604718884866,-0.8411811695778892,43.14784937654801
 0.5119698395620564,2.4516432955719374,0.527145942620753,7.111919910315152,2.252667294073048,4.400000000000015,-0.006629916917384423,-174.08960482109507,-0.8624739969879777,45.31058649146275
